channel,a,b,rate_numeric,rate_analytic
inhom_dephase,8,32,4.281204081632239,4.285714285714286
inhom_dephase,8,64,4.566387755101209,4.571428571428571
inhom_dephase,8,128,4.8515714285708444,4.857142857142858
inhom_dephase,16,1,3.1407142857140524,3.142857142857143
inhom_dephase,16,2,3.425816326530162,3.4285714285714284
inhom_dephase,16,4,3.710918367346494,3.7142857142857144
inhom_dephase,16,8,3.996020408162826,4.0
inhom_dephase,16,32,4.56622448979549,4.571428571428571
inhom_dephase,16,64,4.851326530611821,4.857142857142858
inhom_dephase,16,128,5.136428571428153,5.142857142857142
inhom_dephase,32,1,3.4261428571426,3.4285714285714284
inhom_dephase,32,2,3.71116326530585,3.714285714285714
inhom_dephase,32,4,3.9961836734691003,4.0
inhom_dephase,32,8,4.281204081632239,4.285714285714286
inhom_dephase,32,16,4.56622448979549,4.571428571428571
inhom_dephase,32,64,5.136265306121879,5.142857142857142
inhom_dephase,32,128,5.421285714285129,5.428571428571429
inhom_dephase,64,1,3.7115714285712587,3.7142857142857144
inhom_dephase,64,2,3.996510204081205,4.0
inhom_dephase,64,4,4.2814489795913735,4.285714285714286
inhom_dephase,64,8,4.566387755101209,4.571428571428571
inhom_dephase,64,16,4.851326530611821,4.857142857142858
inhom_dephase,64,32,5.136265306121879,5.142857142857142
inhom_dephase,64,128,5.706142857142105,5.714285714285714
inhom_dephase,128,1,3.996999999999584,4.0
inhom_dephase,128,2,4.28185714285656,4.285714285714286
inhom_dephase,128,4,4.566714285713758,4.571428571428571
inhom_dephase,128,8,4.8515714285708444,4.857142857142858
inhom_dephase,128,16,5.136428571428153,5.142857142857142
inhom_dephase,128,32,5.421285714285129,5.428571428571429
inhom_dephase,128,64,5.706142857142105,5.714285714285714
site_amp_damp,1,2,0.571431123907451,0.5714285714285714
site_amp_damp,1,4,0.6428673535027185,0.6428571428571428
site_amp_damp,1,8,0.7143086898806494,0.7142857142857143
site_amp_damp,1,16,0.7857551341368119,0.7857142857142857
site_amp_damp,1,32,0.8572066873666628,0.8571428571428571
site_amp_damp,1,64,0.9286633506664366,0.9285714285714286
site_amp_damp,1,128,1.0001251251328114,1.0
site_amp_damp,2,1,0.571431123907451,0.5714285714285714
site_amp_damp,2,4,0.7142882671296036,0.7142857142857142
site_amp_damp,2,8,0.785724497819773,0.7857142857142857
site_amp_damp,2,16,0.8571658360230217,0.8571428571428571
site_amp_damp,2,32,0.9286122828349175,0.9285714285714285
site_amp_damp,2,64,1.0000638393515837,1.0
site_amp_damp,2,128,1.0715205066694766,1.0714285714285714
site_amp_damp,4,1,0.6428673535027185,0.6428571428571428
site_amp_damp,4,2,0.7142882671296036,0.7142857142857142
site_amp_damp,4,8,0.8571454103516452,0.8571428571428572
site_amp_damp,4,16,0.9285816421371607,0.9285714285714286
site_amp_damp,4,32,1.000022982166171,1.0
site_amp_damp,4,64,1.0714694315345774,1.0714285714285714
site_amp_damp,4,128,1.1429209913390581,1.1428571428571428
site_amp_damp,8,1,0.7143086898806494,0.7142857142857143
site_amp_damp,8,2,0.785724497819773,0.7857142857142857
site_amp_damp,8,4,0.8571454103516452,0.8571428571428572
site_amp_damp,8,16,1.0000025535740198,1.0
site_amp_damp,8,32,1.0714387864548813,1.0714285714285714
site_amp_damp,8,64,1.1428801283100976,1.1428571428571428
site_amp_damp,8,128,1.2143265802359027,1.2142857142857144
site_amp_damp,16,1,0.7857551341368119,0.7857142857142857
site_amp_damp,16,2,0.8571658360230217,0.8571428571428571
site_amp_damp,16,4,0.9285816421371607,0.9285714285714286
site_amp_damp,16,8,1.0000025535740198,1.0
site_amp_damp,16,32,1.1428596967963944,1.1428571428571428
site_amp_damp,16,64,1.2142959307731571,1.2142857142857144
site_amp_damp,16,128,1.2857372744551343,1.2857142857142856
site_amp_damp,32,1,0.8572066873666628,0.8571428571428571
site_amp_damp,32,2,0.9286122828349175,0.9285714285714285
site_amp_damp,32,4,1.000022982166171,1.0
site_amp_damp,32,8,1.0714387864548813,1.0714285714285714
site_amp_damp,32,16,1.1428596967963944,1.1428571428571428
site_amp_damp,32,64,1.285716840018769,1.2857142857142856
site_amp_damp,32,128,1.357153075091766,1.3571428571428572
site_amp_damp,64,1,0.9286633506664366,0.9285714285714286
site_amp_damp,64,2,1.0000638393515837,1.0
site_amp_damp,64,4,1.0714694315345774,1.0714285714285714
site_amp_damp,64,8,1.1428801283100976,1.1428571428571428
site_amp_damp,64,16,1.2142959307731571,1.2142857142857144
site_amp_damp,64,32,1.285716840018769,1.2857142857142856
site_amp_damp,64,128,1.4285739832412547,1.4285714285714286
site_amp_damp,128,1,1.0001251251328114,1.0
