kind,index,lambda_coh,omega_mode,omega_resp,in_unit_interval,mode_ge_resp
dephasing_profile,38,6.443772866530972,0.6438128196017638,0.5121419178568474,True,True
dephasing_profile,39,5.90003165780717,0.5558778686773311,0.4995694665815882,True,True
dephasing_profile,40,5.822610437546283,0.5740444545807617,0.4208061646554255,True,True
dephasing_profile,41,5.37223410119958,0.8578337748127782,0.6185517373973779,True,True
dephasing_profile,42,6.860489940014425,0.6414539007780459,0.26886197648779814,True,True
dephasing_profile,43,6.6075207385237755,0.6259720474380657,0.6666666666666683,True,False
dephasing_profile,44,6.298819072755535,0.6846545039726006,0.4720025982987363,True,True
dephasing_profile,45,6.509500652218336,0.4912698521849738,0.26908290112991606,True,True
dephasing_profile,46,5.2805087957950025,0.5984613571628331,0.42705433905223905,True,True
dephasing_profile,47,5.956431216656455,0.8332690965112739,0.37802802490360954,True,True
dephasing_profile,48,4.867609599545353,0.8453888931215565,0.5607137480541429,True,True
dephasing_profile,49,7.500150389115778,0.4541937409047615,0.4475542168743439,True,True
dephasing_profile,50,6.407125983020068,0.48006480744693086,0.34738116655880436,True,True
dephasing_profile,51,5.834323026826294,0.6443209773322726,0.4348853202072615,True,True
dephasing_profile,52,6.392292471281702,0.4131517883120336,0.2573479810656643,True,True
dephasing_profile,53,5.647982414850428,0.5380031297937778,0.5184627672363429,True,True
dephasing_profile,54,6.1481375444822906,0.6380079259989869,0.38667585605144555,True,True
dephasing_profile,55,7.01150767072567,0.6978324089695012,0.6666666666666632,True,True
dephasing_profile,56,6.400915912300742,0.9162759121907295,0.6614771091746434,True,True
dephasing_profile,57,7.687216564099542,0.37771354339352725,0.2154622860959977,True,True
dephasing_profile,58,6.736003072813301,0.794409508105085,0.35834785426525206,True,True
dephasing_profile,59,6.744842197536127,0.8109628534905506,0.6056167373087362,True,True
dephasing_profile,60,5.589202772755542,0.9093677325696436,0.4732930081045954,True,True
dephasing_profile,61,6.6916415688497155,0.7028324704166082,0.36624171222218066,True,True
dephasing_profile,62,6.135413048108718,0.8885002357938044,0.4469610187089861,True,True
dephasing_profile,63,5.21026922225909,0.46543513527836355,0.4358958913002475,True,True
dephasing_profile,64,6.021380787780695,0.6330502306476399,0.4347975445691282,True,True
dephasing_profile,65,5.788280289865555,0.8531444329222473,0.5486616267732698,True,True
dephasing_profile,66,5.441745532699049,0.729873460046604,0.5757289318882677,True,True
dephasing_profile,67,6.364866604370301,0.453699587649626,0.33744380562147225,True,True
dephasing_profile,68,7.884878681724716,0.769679705958827,0.4370662965428716,True,True
dephasing_profile,69,6.880110048357424,0.7224284613551291,0.39337590359894187,True,True
dephasing_profile,70,6.506164175613005,0.8909231923481562,0.4283145944575013,True,True
dephasing_profile,71,5.642803869310042,0.835222399210753,0.6263809334902722,True,True
dephasing_profile,72,6.691429527048931,0.42576768180246155,0.3072358365759739,True,True
dephasing_profile,73,5.873760389551785,0.5978926630619518,0.3336766858482167,True,True
dephasing_profile,74,5.953441002558124,0.6083146293789762,0.3317531850396279,True,True
dephasing_profile,75,6.348955410266588,0.556493044123699,0.3217366675114351,True,True
dephasing_profile,76,6.123464125850742,0.873476132021377,0.6171540500193377,True,True
dephasing_profile,77,5.552055881902773,0.8440015458175968,0.4577143613457957,True,True
dephasing_profile,78,6.155489121552504,0.5935258388454032,0.567665102792,True,True
dephasing_profile,79,6.499698904448015,0.4796931715707314,0.3954665506313063,True,True
dephasing_profile,80,6.3345152179429265,0.7602030348722679,0.37533831507362597,True,True
dephasing_profile,81,5.866738400844063,0.6234943875408303,0.37946238918504377,True,True
dephasing_profile,82,6.935631086707583,0.7384948558926894,0.4113679948978152,True,True
dephasing_profile,83,5.378043573493585,0.6135336892311202,0.28785739692939394,True,True
dephasing_profile,84,7.121568435954018,0.5956728752515598,0.537275007390534,True,True
dephasing_profile,85,7.284314435504147,0.6791401466874021,0.46673524901614094,True,True
dephasing_profile,86,6.6704315541430415,0.45951582254196705,0.4024620764961683,True,True
dephasing_profile,87,7.2016168869890596,0.6105792433311332,0.38689844721331673,True,True
dephasing_profile,88,6.06603357639568,0.36550684863228894,0.2529659303698368,True,True
dephasing_profile,89,7.218665415241743,0.7777618976775285,0.32986436711595857,True,True
dephasing_profile,90,7.535059012161671,0.35751983896723943,0.423985972071625,True,False
dephasing_profile,91,8.398699685093991,0.5928206062588999,0.3340639943243106,True,True
dephasing_profile,92,6.1093733127820515,0.6777324933429216,0.33943553687521416,True,True
dephasing_profile,93,6.409008735894117,0.7093047171114031,0.3530176639280563,True,True
dephasing_profile,94,5.101399666283313,0.760131953089065,0.42029605806415743,True,True
dephasing_profile,95,5.509186696667445,0.49519755776460406,0.3321828784058319,True,True
dephasing_profile,96,6.164357798839504,0.6364885119664812,0.2929942331657041,True,True
dephasing_profile,97,5.5083262248535325,0.6036792180961829,0.556948549982776,True,True
dephasing_profile,98,7.8436002812730665,0.503988431858236,0.5048227826646363,True,False
dephasing_profile,99,6.011025253466307,0.6561254878100609,0.6119168844524455,True,True
dephasing_profile,100,5.6284875144327895,0.84675824143705,0.6382539701685648,True,True
dephasing_profile,101,7.027765027973865,0.7951682407907144,0.28877463194856806,True,True
dephasing_profile,102,7.408094600469095,0.2541462973713186,0.27195145743215865,True,False
dephasing_profile,103,8.053867302391104,0.806814161422793,0.6666666666666871,True,True
dephasing_profile,104,6.863413946694874,0.6662301854753849,0.4421198607369519,True,True
dephasing_profile,105,6.441576886466849,0.8465971177675724,0.6666666666666773,True,True
dephasing_profile,106,5.45126519502126,0.985156630406232,0.40510828676350197,True,True
dephasing_profile,107,7.472370601279255,0.7495819013837203,0.45673026019027424,True,True
dephasing_profile,108,5.616571117115554,0.6411536569699324,0.39969048860711043,True,True
dephasing_profile,109,7.326113315466398,0.5047423691155412,0.19992297883992885,True,True
dephasing_profile,110,6.154409493381086,0.7487533193097826,0.28261498793137213,True,True
dephasing_profile,111,7.971518722379556,0.6303807546088301,0.4257514883752691,True,True
dephasing_profile,112,5.948728002866943,0.6130066987508817,0.39261486770189197,True,True
dephasing_profile,113,5.363250762435712,0.7192830676377835,0.43089075623763984,True,True
dephasing_profile,114,6.049307048932362,0.8253623108067828,0.6354549892819679,True,True
dephasing_profile,115,6.1140774818181365,0.6374723456491808,0.5182382566958684,True,True
dephasing_profile,116,6.943599640574671,0.8096240816603493,0.3336570061432842,True,True
dephasing_profile,117,6.583829346149317,0.6928753283876105,0.6622938185626601,True,True
dephasing_profile,118,6.381826390323475,0.41032033054694883,0.3798220309059183,True,True
dephasing_profile,119,7.0228255402988715,0.930553644264108,0.512750648466444,True,True
dephasing_profile,120,6.3701119015878716,0.5583902607641126,0.3820285866962811,True,True
dephasing_profile,121,6.517292671290975,0.4163697416994694,0.4027829109211276,True,True
dephasing_profile,122,7.060059100559735,0.6311509517690048,0.2648579824046526,True,True
dephasing_profile,123,7.350539286642532,0.501736717341797,0.31919070433322155,True,True
dephasing_profile,124,5.504636571489807,0.8263295268160556,0.6005770544834508,True,True
